category,text,pronunciation,translation
인사/소개,안녕하세요 처음 뵙겠습니다.,[안녕하세요 처음 뵙껬씀니다],Hello nice to meet you
인사/소개,저는 한국어를 배워요.,[저는 한구거를 배워요],I learn Korean
인사/소개,오늘 기분이 어때요?,[오늘 기부니 어때요?],How do you feel today
인사/소개,이름이 뭐예요?,[이르미 뭐예요?],What is your name
인사/소개,한국에 온 지 오래됐어요?,[한구게 온 지 오래돼써요?],Have you been in Korea long
인사/소개,만나서 정말 반가워요.,[만나서 정말 반가워요],Nice to meet you
인사/소개,어디에서 왔어요?,[어디에서 와써요?],Where are you from
인사/소개,오늘 날씨가 좋아요.,[오늘 날씨가 조아요],The weather is nice today
인사/소개,요즘 어떻게 지내요?,[요즘 어떠케 지내요?],How are you these days
인사/소개,다음에 또 만나요.,[다으메 또 만나요],See you again next time
식당/주문,물 한 잔 주세요.,[물 한 잔 주세요],Please give me a glass of water
식당/주문,이 메뉴가 뭐예요?,[이 메뉴가 뭐예요?],What is this menu item
식당/주문,불고기 하나 주세요.,[불고기 하나 주세요],Please give me one bulgogi
식당/주문,덜 맵게 해주세요.,[덜 맵께 해주세요],Please make it less spicy
식당/주문,여기에서 먹어요.,[여기에서 머거요],I will eat here
식당/주문,포장도 가능해요?,[포장도 가능해요?],Is takeout possible
식당/주문,계산은 카드로 할게요.,[계산은 카드로 할께요],I will pay by card
식당/주문,이거 추천해 주세요.,[이거 추천해 주세요],Please recommend this
식당/주문,얼마나 걸려요?,[얼마나 걸려요?],How long does it take
식당/주문,맛있게 잘 먹었어요.,[마시께 잘 머거써요],I enjoyed the meal
감정표현,오늘 정말 기뻐요.,[오늘 정말 기뻐요],I am very happy today
감정표현,조금 피곤해요.,[조금 피곤해요],I am a little tired
감정표현,기분이 안 좋아요.,[기부니 안 조아요],I feel bad
감정표현,지금 많이 바빠요.,[지금 많이 바빠요],I am very busy now
감정표현,그래서 좀 쉬고 싶어요.,[그래서 좀 쉬고 시퍼요],So I want to rest a bit
감정표현,혼자 있어서 외로워요.,[혼자 이써서 외로워요],I feel lonely being alone
감정표현,오늘은 힘들었어요.,[오늘은 힘드러써요],Today was hard
감정표현,그래도 괜찮아요.,[그래도 괜차나요],But it is okay
감정표현,지금은 걱정돼요.,[지그믄 걱쩡돼요],I am worried now
감정표현,조금 더 기다려요.,[조금 더 기다려요],Please wait a little more
쇼핑/구매,이거 얼마예요?,[이거 얼마예요?],How much is this
쇼핑/구매,좀 더 큰 사이즈 있어요?,[좀 더 큰 사이즈 이써요?],Do you have a bigger size
쇼핑/구매,이 색이 좋아요.,[이 새기 조아요],I like this color
쇼핑/구매,입어 봐도 돼요?,[이보 봐도 돼요?],Can I try it on
쇼핑/구매,가격이 조금 비싸요.,[가격이 조금 비싸요],The price is a bit high
쇼핑/구매,다른 거 보고 싶어요.,[다른 거 보고 시퍼요],I want to see something else
쇼핑/구매,이거 사고 싶어요.,[이거 사고 시퍼요],I want to buy this
쇼핑/구매,영수증 주세요.,[영수증 주세요],Please give me a receipt
쇼핑/구매,환불 가능해요?,[환불 가능해요?],Is a refund possible
쇼핑/구매,카드로 결제할게요.,[카드로 결쩨할께요],I will pay by card
일정/계획,내일 시간 있어요?,[내일 시간 이써요?],Do you have time tomorrow
일정/계획,주말에 뭐 할 거예요?,[주마레 뭐 할 꺼예요?],What will you do this weekend
일정/계획,같이 점심 먹을까요?,[가치 점심 머글까요?],Shall we eat lunch together
일정/계획,오후에 만나요.,[오후에 만나요],Lets meet in the afternoon
일정/계획,다음 주에 여행 가요.,[다음 주에 여행 가요],I am going on a trip next week
일정/계획,오늘은 집에 있어요.,[오늘은 지베 이써요],I stay at home today
일정/계획,일찍 출발해요.,[일찍 출발해요],I will leave early
일정/계획,저녁에 약속 있어요.,[저녀게 약쏙 이써요],I have plans in the evening
일정/계획,언제 다시 만날까요?,[언제 다시 만날까요?],When shall we meet again
일정/계획,같이 영화 보러 가요.,[가치 영화 보러 가요],Lets go see a movie together
